slice,n,macro_f1,micro_f1,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,kappa,ece,mean_conf
ALL,237936,0.5463248032614956,0.6614509784143635,0.6836641580894257,0.06862818310805766,0.7499969244774687,0.5798868678657318,0.649447882766794,0.5184659567624403,0.11333684498516079,0.7747878233995245
SC,195469,0.531258271601563,0.6609743744532381,0.7056112504980241,0.05004428697962799,0.7390239974230955,0.5551572262624194,0.6064545968446478,0.5028946567996095,0.12129814165439709,0.7822658888077338
ST,42467,0.5615121058892466,0.6636447123648951,0.45845303867403314,0.16849119466920515,0.7854873157264156,0.6281884565369611,0.766940523839618,0.5343893704116573,0.07672273833871779,0.7403674507036129
