slice,n,macro_f1,micro_f1,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,kappa,ece,mean_conf
ALL,3168,0.8468019954487698,0.8718434343434344,0.9142351900972591,0.7296587926509186,0.9053003533568904,0.7624309392265194,0.922384701912261,0.8225119222755537,0.019452102877425426,0.8523913025856018
SC,2076,0.8307175051078979,0.8578998073217726,0.9015256588072122,0.7171903881700554,0.8987129266927812,0.7352297592997812,0.9009287925696594,0.8060253698114509,0.013173084196442565,0.8482733368873596
ST,1092,0.880353152524447,0.8983516483516484,0.9365853658536586,0.7601809954751131,0.9165867689357622,0.8089887640449438,0.9794238683127572,0.854633285202366,0.044667649290937236,0.8602200150489807
