stem,n_bench,sec,depth_spearman,rem_f1,rem_precision,rem_recall,rem_pred_rate,rem_true_rate,sdi_Wake,sdi_N1,sdi_N2,sdi_N3,sdi_REM
ST7091,943,14.4,0.824,0.9213,0.9647,0.8817,0.1803,0.1972,0.012,0.08,0.349,0.672,0.368
ST7092,923,14.4,0.894,0.9085,0.9521,0.8688,0.1582,0.1733,0.006,0.067,0.32,0.728,0.319
ST7101,1042,16.0,0.893,0.7632,0.9732,0.6277,0.143,0.2217,0.016,0.097,0.417,0.822,0.355
ST7102,980,14.5,0.884,0.6391,0.9878,0.4723,0.1673,0.35,0.004,0.057,0.353,0.905,0.317
ST7111,1017,15.5,0.865,0.6123,1.0,0.4413,0.1367,0.3097,0.004,0.09,0.418,0.98,0.435
ST7112,978,14.8,0.842,0.7007,1.0,0.5392,0.1616,0.2996,0.005,0.093,0.445,0.943,0.417
ST7121,1026,15.2,0.806,0.7465,1.0,0.5955,0.155,0.2602,0.01,0.099,0.532,0.907,0.409
ST7122,945,14.6,0.855,0.8382,0.8906,0.7917,0.1354,0.1524,0.025,0.107,0.432,0.986,0.437
ST7131,859,13.7,0.809,0.9176,0.8764,0.963,0.2072,0.1886,0.001,0.114,0.551,0.996,0.481
ST7132,852,13.3,0.841,0.8725,0.9271,0.8241,0.2254,0.2535,0.009,0.181,0.665,0.997,0.453
ST7141,858,13.4,0.859,0.8223,0.9172,0.7452,0.197,0.2424,0.019,0.143,0.464,0.933,0.464
ST7142,873,13.4,0.804,0.5962,0.9167,0.4418,0.1375,0.2852,0.014,0.133,0.398,0.95,0.422
ST7151,897,18.7,0.924,0.9084,0.9538,0.8671,0.1449,0.1594,0.01,0.071,0.493,0.925,0.447
ST7152,1045,15.8,0.897,0.8556,0.9401,0.785,0.1598,0.1914,0.009,0.053,0.479,0.957,0.443
ST7161,1050,16.3,0.892,0.9077,0.9198,0.8958,0.1781,0.1829,0.004,0.077,0.296,0.794,0.403
ST7162,988,14.6,0.886,0.9262,1.0,0.8625,0.0698,0.081,0.01,0.04,0.234,0.795,0.369
ST7171,918,14.1,0.924,0.8426,0.934,0.7674,0.1155,0.1405,0.003,0.134,0.392,0.928,0.256
ST7172,1005,14.6,0.898,0.9045,0.8554,0.9595,0.1652,0.1473,0.004,0.106,0.317,0.933,0.324
ST7181,959,14.9,0.793,0.8285,0.9612,0.7279,0.1074,0.1418,0.002,0.005,0.354,0.682,0.181
ST7182,967,16.5,0.762,0.9044,0.9044,0.9044,0.2596,0.2596,0.001,0.022,0.415,0.885,0.231
ST7191,955,16.4,0.879,0.8418,0.9075,0.785,0.1812,0.2094,0.03,0.141,0.396,0.99,0.398
ST7192,931,15.8,0.717,0.8467,0.9721,0.75,0.1923,0.2492,0.003,0.068,0.495,0.996,0.369
ST7201,921,14.1,0.685,0.8178,0.8148,0.8209,0.1466,0.1455,0.005,0.106,0.48,0.949,0.297
ST7202,898,14.5,0.55,0.8844,0.8895,0.8793,0.1915,0.1938,0.008,0.067,0.435,0.895,0.244
ST7211,1063,15.7,0.871,0.9062,0.8841,0.9295,0.1543,0.1468,0.004,0.078,0.374,0.914,0.247
ST7212,1010,15.3,0.926,0.8679,0.9504,0.7986,0.1198,0.1426,0.003,0.106,0.43,0.967,0.254
ST7221,1029,16.0,0.869,0.8251,0.7554,0.9091,0.2702,0.2245,0.007,0.123,0.439,0.921,0.277
ST7222,951,14.0,0.823,0.9074,0.8643,0.955,0.2324,0.2103,0.008,0.091,0.377,,0.294
ST7241,1021,15.7,0.565,0.8869,0.9561,0.827,0.2008,0.2321,0.017,0.176,0.559,0.993,0.408
ST7242,939,14.9,0.717,0.8726,0.9514,0.8059,0.1534,0.181,0.006,0.115,0.472,0.989,0.364
