slice,n,macro_f1,micro_f1,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,kappa,ece,mean_conf
ALL,237310,0.8316118133718164,0.8646580422232523,0.9332261608913994,0.6169289001039038,0.8821697232748249,0.8252857476090506,0.9004485349799033,0.81652008498341,0.09719780352309669,0.7674602387001557
SC,195469,0.8202060384880889,0.8581156091247205,0.934591155545805,0.5987470167064439,0.8739251509285977,0.8066920393276245,0.8870748299319728,0.8058732359074205,0.09445402219807497,0.7636615869266457
ST,41841,0.8731170105703783,0.895222389522239,0.9113924050632911,0.7393800229621125,0.9116293420409842,0.8603937420465604,0.9427895407389432,0.8511135659736652,0.11001595298942544,0.7852064365328136
