slice,n,macro_f1,micro_f1,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,kappa,ece,mean_conf
ALL,237936,0.8226832410166839,0.859260473404613,0.9251604545722193,0.5919446313563396,0.8795643355283266,0.8118979299036688,0.9048488537228647,0.8087512375913051,0.004655877034178065,0.8554104566574097
SC,195469,0.8107369149335627,0.8521248893686467,0.9268815689589056,0.5729586191635317,0.8703954195741636,0.7917165707220956,0.8917323962491167,0.7974033571616252,0.006637148675157991,0.8457376956939697
ST,42467,0.8649515795695392,0.892104457578826,0.8979591836734694,0.7176556776556776,0.9114093959731544,0.8516236976195909,0.9461099429258035,0.845388775906116,0.008180206343607041,0.8999330401420593
