slice,n,macro_f1,micro_f1,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,kappa,ece,mean_conf
ALL,2327,0.7391428366572625,0.7997421572840567,0.7606490872210954,0.4434782608695652,0.8780934922089826,0.7308781869688386,0.8826151560178306,0.7144459714857299,0.030982060792572153,0.8307242180766289
SC,1235,0.8119347151403036,0.8680161943319838,0.8369829683698297,0.6418918918918919,0.9466776045939295,0.7796610169491526,0.8544600938967136,0.8067236976016285,0.044038190894763955,0.8317024121159001
ST,1092,0.6440574273078968,0.7225274725274725,0.7060869565217391,0.08536585365853659,0.7912772585669782,0.7063829787234043,0.9311740890688259,0.6117012100450995,0.10709045467140914,0.8296179271988816
