slice,n,macro_f1,micro_f1,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,kappa,ece,mean_conf
ALL,3168,0.7670106586715257,0.8074494949494949,0.8223201174743024,0.4793388429752066,0.8500382555470544,0.7930607187112764,0.890295358649789,0.738963477742168,0.04194180012700603,0.8474769260292443
SC,2076,0.8111146878538931,0.8453757225433526,0.8894409937888199,0.5627906976744186,0.8851063829787233,0.8368794326241135,0.8813559322033898,0.7932961032483477,0.016998405535524792,0.8501074723665244
ST,1092,0.6796260529444418,0.7353479853479854,0.725314183123878,0.2742857142857143,0.7905056759545923,0.691358024691358,0.9166666666666666,0.6292739083956912,0.10712801193016605,0.8424759972781514
