slice,n,macro_f1,micro_f1,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,kappa,ece,mean_conf
ALL,237936,0.827475955054169,0.8679981171407437,0.9334201506901264,0.604822265666057,0.8837055854310316,0.8013849705052578,0.9140468029783714,0.819387625509825,0.013054483488681087,0.8810526006294248
SC,195469,0.8327103913897425,0.8747780978057902,0.9419635287407704,0.6211938960824548,0.8872361384745285,0.7942457542457543,0.9189126394052045,0.8271652360365346,0.005159389194715199,0.8799374870005053
ST,42467,0.7753889479240992,0.8367909200084772,0.8226950354609929,0.4706109822119103,0.8710813666784079,0.8141783029001074,0.8983790523690773,0.7674886690739862,0.04946886794164625,0.8861852953319292
