slice,n,macro_f1,micro_f1,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,kappa,ece,mean_conf
ALL,237310,0.8315302051350091,0.8682819940162656,0.9383669425340949,0.6097434257853089,0.8835668507061011,0.8252001969575246,0.9007736096920158,0.8204726072289539,0.09437008733209988,0.7739119066841657
SC,195469,0.8202285661375888,0.862515283753434,0.9397566111351954,0.5910694114663777,0.8759197561494294,0.8065961073453046,0.8878009445916369,0.8107533974411502,0.0919948868735964,0.7705203968798376
ST,41841,0.8721647688008284,0.895222389522239,0.9161721068249258,0.7312828207051763,0.9111253033593052,0.8603293413173653,0.9419142717973698,0.8506534948660989,0.10546633403803965,0.7897560554841992
