slice,n,macro_f1,micro_f1,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,kappa,ece,mean_conf
ALL,237936,0.829078335664726,0.8640684890054469,0.9413848444977806,0.6244287872995066,0.8761523046092184,0.7999135111759778,0.9035122307411464,0.8155581488161997,0.02866869990266975,0.8353997891027772
SC,195469,0.8128766725918777,0.8559873944205987,0.9433852065321806,0.6060478878559588,0.8637738483015356,0.7620640628920298,0.8891123573776832,0.8025969150992875,0.02837566243480025,0.8276117319857984
ST,42467,0.8781276654857699,0.9012645112675725,0.9096451652237532,0.7448446521858675,0.9191345401297685,0.869086740542606,0.9479272293468536,0.8595869186827286,0.030045569866226862,0.8712470054495572
