slice,n,macro_f1,micro_f1,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,kappa,ece,mean_conf
ALL,3168,0.4610011557008698,0.5732323232323232,0.5219378427787934,0.20689655172413793,0.725283313794451,0.24086021505376345,0.6100278551532033,0.41306787614056206,0.1697112236771709,0.7426815503973017
SC,2076,0.45657994018989195,0.5939306358381503,0.5397058823529411,0.28,0.7859272510435301,0.11072664359861592,0.5665399239543726,0.4432480220961503,0.14231023246246363,0.7353585662145125
ST,1092,0.4572886137327131,0.5338827838827839,0.4927536231884058,0.0,0.6099773242630385,0.45454545454545453,0.7291666666666666,0.35664034557715407,0.22272048369718295,0.7566032675799669
