slice,n,macro_f1,micro_f1,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,kappa,ece,mean_conf
ALL,6311,0.5300475669197493,0.7832356203454286,0.8744384015133602,0.20047732696897375,0.7244340359094458,0.24086021505376345,0.6100278551532033,0.5765011282252525,0.05610770524969668,0.8392118084107447
SC,5219,0.5292038875157369,0.8354090821996552,0.9158584534731323,0.268370607028754,0.7845238095238095,0.11072664359861592,0.5665399239543726,0.6254572109989129,0.025415461339564644,0.8564964465765255
ST,1092,0.4572886137327131,0.5338827838827839,0.4927536231884058,0.0,0.6099773242630385,0.45454545454545453,0.7291666666666666,0.35664034557715407,0.22272048369718295,0.7566032675799669
