slice,n,macro_f1,micro_f1,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,kappa,ece,mean_conf
ALL,237936,0.8457639237437075,0.8782739896442741,0.936405705137109,0.637939688791073,0.8959631806587557,0.8396803008932769,0.9188307432383227,0.8343207719656037,0.06341161405301139,0.8148623755912627
SC,195469,0.8361687523396872,0.8729721848477252,0.9381638905737258,0.6225614927905004,0.8889569023808677,0.8222107396955364,0.9089507362578059,0.8254826232426816,0.07805599642486807,0.7949161884228572
ST,42467,0.877688379864374,0.90267737301905,0.9088023440361372,0.73642081189251,0.9206675868992346,0.8731621848099337,0.9493889716840537,0.8611604030814802,0.006103452679199541,0.9066715747252035
