slice,n,macro_f1,micro_f1,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,kappa,ece,mean_conf
ALL,237310,0.8416991121073272,0.8722641270911466,0.9319992615839026,0.6378116216265868,0.8906849777677717,0.8331266149870801,0.9148730845712949,0.8269304943567262,0.08268478372367369,0.7895793433674732
SC,195469,0.8348585440083479,0.8685776261197428,0.9335144600356495,0.6241024564350199,0.8865668845347304,0.8222619757503479,0.9078469432859916,0.8203295105359356,0.0783599125875782,0.7902177135321646
ST,41841,0.8675588151189393,0.8894863889486389,0.9081000743126084,0.7337939144495076,0.9053751831572453,0.8533038021410114,0.9372211015343236,0.842947899363527,0.1029563865074837,0.7865970633616867
