window,subset,class,run,model,f1,recall,precision,support,n,coverage,rank
valid,ALL,REM,E21,U-Sleep CSDP (open),0.9138,0.905,0.9228,34184,457652,1.0,3
valid,ALL,Wake,E16,Ens 0.7ANY+0.3RSN+bias,0.9852,0.9812,0.9893,289856,457652,1.0,1
valid,ALL,Wake,E11,AnySleep 3ch,0.985,0.9801,0.99,289856,457652,1.0,2
valid,ALL,Wake,E17,Ens ANYx3+LGBM,0.9845,0.979,0.9901,289711,456997,0.999,3
valid,SC,N1,E19b,Ens v2 +bias,0.6195,0.6906,0.5617,21522,414961,0.907,1
valid,SC,N1,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.6188,0.648,0.5921,21522,414961,0.907,2
valid,SC,N1,E21,U-Sleep CSDP (open),0.617,0.6119,0.6223,21522,414961,0.907,3
valid,SC,N2,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.8884,0.9033,0.8739,69132,414961,0.907,1
valid,SC,N2,E21,U-Sleep CSDP (open),0.8862,0.912,0.8619,69132,414961,0.907,2
valid,SC,N2,E19b,Ens v2 +bias,0.886,0.8898,0.8823,69132,414961,0.907,3
valid,SC,N3,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.8219,0.7932,0.8526,13039,414961,0.907,1
valid,SC,N3,E19b,Ens v2 +bias,0.8219,0.7932,0.8528,13039,414961,0.907,2
valid,SC,N3,E18,Ens ANYx3+LGBM+bias,0.8064,0.7803,0.8344,13039,414961,0.907,3
valid,SC,REM,E21,U-Sleep CSDP (open),0.9186,0.9185,0.9186,25835,414961,0.907,1
valid,SC,REM,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.9088,0.9127,0.9049,25835,414961,0.907,2
valid,SC,REM,E19b,Ens v2 +bias,0.9077,0.9142,0.9012,25835,414961,0.907,3
valid,SC,Wake,E16,Ens 0.7ANY+0.3RSN+bias,0.9863,0.9826,0.9901,285433,414961,0.907,1
valid,SC,Wake,E11,AnySleep 3ch,0.9861,0.9814,0.9908,285433,414961,0.907,2
valid,SC,Wake,E21,U-Sleep CSDP (open),0.9859,0.9814,0.9905,285433,414961,0.907,3
