fold,Wake,N1,N2,N3,REM
0,"E16(t=0.40,F1=0.943)","E19(t=0.40,F1=0.640)","E19(t=0.43,F1=0.891)","E19(t=0.43,F1=0.836)","E19b(t=0.43,F1=0.919)"
1,"E16(t=0.40,F1=0.945)","E19(t=0.40,F1=0.637)","E19(t=0.43,F1=0.889)","E19(t=0.43,F1=0.836)","E19(t=0.43,F1=0.912)"
2,"E16(t=0.38,F1=0.946)","E19(t=0.40,F1=0.631)","E19(t=0.43,F1=0.893)","E19(t=0.43,F1=0.844)","E19(t=0.43,F1=0.918)"
3,"E16(t=0.40,F1=0.943)","E19(t=0.40,F1=0.637)","E19(t=0.43,F1=0.898)","E19(t=0.45,F1=0.831)","E19(t=0.43,F1=0.920)"
4,"E16(t=0.38,F1=0.944)","E19(t=0.40,F1=0.639)","E19(t=0.43,F1=0.895)","E19(t=0.43,F1=0.829)","E21(t=0.43,F1=0.917)"
