window,subset,class,run,model,f1,recall,precision,support,n,coverage
bench,ALL,N3,E11c,AnySleep 2EEG,0.7851,0.7502,0.8233,19454,237936,1.0
bench,ALL,REM,E11c,AnySleep 2EEG,0.8782,0.8692,0.8872,34184,237936,1.0
bench,SC,Wake,E11c,AnySleep 2EEG,0.94,0.9227,0.9579,65941,195469,0.822
bench,SC,N1,E11c,AnySleep 2EEG,0.5778,0.6025,0.555,21522,195469,0.822
bench,SC,N2,E11c,AnySleep 2EEG,0.8612,0.8817,0.8416,69132,195469,0.822
bench,SC,N3,E11c,AnySleep 2EEG,0.7476,0.6882,0.8183,13039,195469,0.822
bench,SC,REM,E11c,AnySleep 2EEG,0.8586,0.848,0.8695,25835,195469,0.822
bench,ST,Wake,E11c,AnySleep 2EEG,0.9093,0.924,0.895,4199,42467,0.178
bench,ST,N1,E11c,AnySleep 2EEG,0.7082,0.6389,0.7944,3653,42467,0.178
bench,ST,N2,E11c,AnySleep 2EEG,0.9066,0.9132,0.9001,19851,42467,0.178
bench,ST,N3,E11c,AnySleep 2EEG,0.8532,0.8762,0.8314,6415,42467,0.178
bench,ST,REM,E11c,AnySleep 2EEG,0.9382,0.9351,0.9413,8349,42467,0.178
valid,ALL,Wake,E11c,AnySleep 2EEG,0.984,0.979,0.9891,289856,457652,1.0
valid,ALL,N1,E11c,AnySleep 2EEG,0.5907,0.6077,0.5746,25175,457652,1.0
valid,ALL,N2,E11c,AnySleep 2EEG,0.8699,0.8887,0.8518,88983,457652,1.0
valid,ALL,N3,E11c,AnySleep 2EEG,0.7848,0.7502,0.8228,19454,457652,1.0
valid,ALL,REM,E11c,AnySleep 2EEG,0.8774,0.8692,0.8857,34184,457652,1.0
valid,SC,Wake,E11c,AnySleep 2EEG,0.9851,0.9798,0.9905,285433,414961,0.907
valid,SC,N1,E11c,AnySleep 2EEG,0.5736,0.6025,0.5473,21522,414961,0.907
valid,SC,N2,E11c,AnySleep 2EEG,0.8595,0.8817,0.8385,69132,414961,0.907
valid,SC,N3,E11c,AnySleep 2EEG,0.7473,0.6882,0.8175,13039,414961,0.907
valid,SC,REM,E11c,AnySleep 2EEG,0.8576,0.848,0.8675,25835,414961,0.907
valid,ST,Wake,E11c,AnySleep 2EEG,0.9138,0.9279,0.9002,4423,42691,0.093
valid,ST,N1,E11c,AnySleep 2EEG,0.7082,0.6389,0.7944,3653,42691,0.093
valid,ST,N2,E11c,AnySleep 2EEG,0.9066,0.9132,0.9001,19851,42691,0.093
valid,ST,N3,E11c,AnySleep 2EEG,0.8532,0.8762,0.8314,6415,42691,0.093
valid,ST,REM,E11c,AnySleep 2EEG,0.9382,0.9351,0.9413,8349,42691,0.093
bench,ALL,Wake,E11a,AnySleep Fpz,0.9235,0.9007,0.9474,70140,237936,1.0
bench,ALL,N1,E11a,AnySleep Fpz,0.5492,0.5198,0.5822,25175,237936,1.0
bench,ALL,N2,E11a,AnySleep Fpz,0.8641,0.8781,0.8506,88983,237936,1.0
bench,ALL,N3,E11a,AnySleep Fpz,0.7956,0.8316,0.7625,19454,237936,1.0
bench,ALL,REM,E11a,AnySleep Fpz,0.8749,0.8943,0.8564,34184,237936,1.0
bench,SC,Wake,E11a,AnySleep Fpz,0.9249,0.901,0.9502,65941,195469,0.822
bench,SC,N1,E11a,AnySleep Fpz,0.5315,0.511,0.5537,21522,195469,0.822
bench,SC,N2,E11a,AnySleep Fpz,0.8555,0.8701,0.8414,69132,195469,0.822
bench,SC,N3,E11a,AnySleep Fpz,0.7767,0.8085,0.7472,13039,195469,0.822
bench,SC,REM,E11a,AnySleep Fpz,0.859,0.8863,0.8334,25835,195469,0.822
bench,ST,Wake,E11a,AnySleep Fpz,0.9008,0.8962,0.9054,4199,42467,0.178
bench,ST,N1,E11a,AnySleep Fpz,0.6663,0.5716,0.7988,3653,42467,0.178
bench,ST,N2,E11a,AnySleep Fpz,0.8942,0.9059,0.8829,19851,42467,0.178
bench,ST,N3,E11a,AnySleep Fpz,0.8335,0.8786,0.7929,6415,42467,0.178
bench,ST,REM,E11a,AnySleep Fpz,0.9261,0.9189,0.9333,8349,42467,0.178
valid,ALL,Wake,E11a,AnySleep Fpz,0.9786,0.9697,0.9877,289856,457652,1.0
valid,ALL,N1,E11a,AnySleep Fpz,0.5437,0.5198,0.5699,25175,457652,1.0
valid,ALL,N2,E11a,AnySleep Fpz,0.86,0.8781,0.8427,88983,457652,1.0
valid,ALL,N3,E11a,AnySleep Fpz,0.7949,0.8316,0.7612,19454,457652,1.0
valid,ALL,REM,E11a,AnySleep Fpz,0.8695,0.8943,0.846,34184,457652,1.0
valid,SC,Wake,E11a,AnySleep Fpz,0.9797,0.9708,0.9889,285433,414961,0.907
valid,SC,N1,E11a,AnySleep Fpz,0.5253,0.511,0.5405,21522,414961,0.907
valid,SC,N2,E11a,AnySleep Fpz,0.8503,0.8701,0.8314,69132,414961,0.907
valid,SC,N3,E11a,AnySleep Fpz,0.7756,0.8085,0.7453,13039,414961,0.907
valid,SC,REM,E11a,AnySleep Fpz,0.8521,0.8863,0.8203,25835,414961,0.907
valid,ST,Wake,E11a,AnySleep Fpz,0.9058,0.9014,0.9103,4423,42691,0.093
valid,ST,N1,E11a,AnySleep Fpz,0.6663,0.5716,0.7988,3653,42691,0.093
valid,ST,N2,E11a,AnySleep Fpz,0.8942,0.9059,0.8829,19851,42691,0.093
valid,ST,N3,E11a,AnySleep Fpz,0.8335,0.8786,0.7929,6415,42691,0.093
valid,ST,REM,E11a,AnySleep Fpz,0.9261,0.9189,0.9333,8349,42691,0.093
bench,ALL,Wake,E11b,AnySleep Pz,0.8979,0.8707,0.927,70140,237936,1.0
bench,ALL,N1,E11b,AnySleep Pz,0.5305,0.5292,0.5319,25175,237936,1.0
bench,ALL,N2,E11b,AnySleep Pz,0.8479,0.8749,0.8226,88983,237936,1.0
bench,ALL,N3,E11b,AnySleep Pz,0.748,0.7107,0.7895,19454,237936,1.0
bench,ALL,REM,E11b,AnySleep Pz,0.8436,0.8518,0.8356,34184,237936,1.0
bench,SC,Wake,E11b,AnySleep Pz,0.8993,0.8664,0.9347,65941,195469,0.822
bench,SC,N1,E11b,AnySleep Pz,0.5138,0.5208,0.5069,21522,195469,0.822
bench,SC,N2,E11b,AnySleep Pz,0.8368,0.8664,0.8091,69132,195469,0.822
bench,SC,N3,E11b,AnySleep Pz,0.7016,0.6503,0.7617,13039,195469,0.822
bench,SC,REM,E11b,AnySleep Pz,0.8266,0.8463,0.8077,25835,195469,0.822
bench,ST,Wake,E11b,AnySleep Pz,0.8792,0.9374,0.8278,4199,42467,0.178
bench,ST,N1,E11b,AnySleep Pz,0.6416,0.579,0.7194,3653,42467,0.178
bench,ST,N2,E11b,AnySleep Pz,0.8875,0.9045,0.8711,19851,42467,0.178
bench,ST,N3,E11b,AnySleep Pz,0.8356,0.8334,0.8379,6415,42467,0.178
bench,ST,REM,E11b,AnySleep Pz,0.8996,0.8688,0.9325,8349,42467,0.178
valid,ALL,Wake,E11b,AnySleep Pz,0.95,0.9199,0.9823,289856,457652,1.0
valid,ALL,N1,E11b,AnySleep Pz,0.4512,0.5292,0.3933,25175,457652,1.0
valid,ALL,N2,E11b,AnySleep Pz,0.8295,0.8749,0.7885,88983,457652,1.0
valid,ALL,N3,E11b,AnySleep Pz,0.74,0.7107,0.7719,19454,457652,1.0
valid,ALL,REM,E11b,AnySleep Pz,0.8334,0.8518,0.8158,34184,457652,1.0
valid,SC,Wake,E11b,AnySleep Pz,0.9511,0.9195,0.985,285433,414961,0.907
valid,SC,N1,E11b,AnySleep Pz,0.4273,0.5208,0.3623,21522,414961,0.907
valid,SC,N2,E11b,AnySleep Pz,0.8135,0.8664,0.7667,69132,414961,0.907
valid,SC,N3,E11b,AnySleep Pz,0.6902,0.6503,0.7353,13039,414961,0.907
valid,SC,REM,E11b,AnySleep Pz,0.8136,0.8463,0.7832,25835,414961,0.907
valid,ST,Wake,E11b,AnySleep Pz,0.8849,0.9405,0.8355,4423,42691,0.093
valid,ST,N1,E11b,AnySleep Pz,0.6416,0.579,0.7194,3653,42691,0.093
valid,ST,N2,E11b,AnySleep Pz,0.8875,0.9045,0.8711,19851,42691,0.093
valid,ST,N3,E11b,AnySleep Pz,0.8356,0.8334,0.8379,6415,42691,0.093
valid,ST,REM,E11b,AnySleep Pz,0.8996,0.8688,0.9325,8349,42691,0.093
bench,ALL,Wake,E20,RobustSleepNet,0.908,0.9664,0.8562,70140,237936,1.0
bench,ALL,N1,E20,RobustSleepNet,0.4422,0.3492,0.6027,25175,237936,1.0
bench,ALL,N2,E20,RobustSleepNet,0.8281,0.8104,0.8466,88983,237936,1.0
bench,ALL,N3,E20,RobustSleepNet,0.7167,0.8157,0.6392,19454,237936,1.0
bench,ALL,REM,E20,RobustSleepNet,0.8552,0.8551,0.8553,34184,237936,1.0
bench,SC,Wake,E20,RobustSleepNet,0.9133,0.9678,0.8646,65941,195469,0.822
bench,SC,N1,E20,RobustSleepNet,0.4183,0.3265,0.5819,21522,195469,0.822
bench,SC,N2,E20,RobustSleepNet,0.8173,0.7918,0.8445,69132,195469,0.822
bench,SC,N3,E20,RobustSleepNet,0.6856,0.8189,0.5897,13039,195469,0.822
bench,SC,REM,E20,RobustSleepNet,0.8463,0.8598,0.8332,25835,195469,0.822
bench,ST,Wake,E20,RobustSleepNet,0.8301,0.9445,0.7403,4199,42467,0.178
bench,ST,N1,E20,RobustSleepNet,0.5726,0.4832,0.7026,3653,42467,0.178
bench,ST,N2,E20,RobustSleepNet,0.8643,0.8754,0.8535,19851,42467,0.178
bench,ST,N3,E20,RobustSleepNet,0.7905,0.8094,0.7725,6415,42467,0.178
bench,ST,REM,E20,RobustSleepNet,0.8845,0.8403,0.9335,8349,42467,0.178
valid,ALL,Wake,E20,RobustSleepNet,0.9751,0.9888,0.9618,289856,457652,1.0
valid,ALL,N1,E20,RobustSleepNet,0.4411,0.3492,0.5987,25175,457652,1.0
valid,ALL,N2,E20,RobustSleepNet,0.8275,0.8104,0.8453,88983,457652,1.0
valid,ALL,N3,E20,RobustSleepNet,0.7156,0.8157,0.6374,19454,457652,1.0
valid,ALL,REM,E20,RobustSleepNet,0.848,0.8551,0.8411,34184,457652,1.0
valid,SC,Wake,E20,RobustSleepNet,0.9775,0.9895,0.9658,285433,414961,0.907
valid,SC,N1,E20,RobustSleepNet,0.4171,0.3265,0.5773,21522,414961,0.907
valid,SC,N2,E20,RobustSleepNet,0.8165,0.7918,0.8427,69132,414961,0.907
valid,SC,N3,E20,RobustSleepNet,0.6841,0.8189,0.5874,13039,414961,0.907
valid,SC,REM,E20,RobustSleepNet,0.8371,0.8598,0.8156,25835,414961,0.907
valid,ST,Wake,E20,RobustSleepNet,0.8377,0.9473,0.7508,4423,42691,0.093
valid,ST,N1,E20,RobustSleepNet,0.5726,0.4832,0.7026,3653,42691,0.093
valid,ST,N2,E20,RobustSleepNet,0.8643,0.8754,0.8535,19851,42691,0.093
valid,ST,N3,E20,RobustSleepNet,0.7905,0.8094,0.7725,6415,42691,0.093
valid,ST,REM,E20,RobustSleepNet,0.8845,0.8403,0.9335,8349,42691,0.093
bench,ALL,Wake,E00,LightGBM (ours),0.7847,0.6952,0.9007,70024,237310,0.997
bench,ALL,N1,E00,LightGBM (ours),0.3901,0.5593,0.2996,25116,237310,0.997
bench,ALL,N2,E00,LightGBM (ours),0.7754,0.7085,0.8561,88654,237310,0.997
bench,ALL,N3,E00,LightGBM (ours),0.7354,0.8731,0.6351,19432,237310,0.997
bench,ALL,REM,E00,LightGBM (ours),0.6505,0.6715,0.6308,34084,237310,0.997
bench,SC,Wake,E00,LightGBM (ours),0.8048,0.7239,0.906,65941,195469,0.822
bench,SC,N1,E00,LightGBM (ours),0.3925,0.5597,0.3022,21522,195469,0.822
bench,SC,N2,E00,LightGBM (ours),0.7723,0.7081,0.8493,69132,195469,0.822
bench,SC,N3,E00,LightGBM (ours),0.7466,0.8648,0.6568,13039,195469,0.822
bench,SC,REM,E00,LightGBM (ours),0.6422,0.6706,0.6162,25835,195469,0.822
bench,ST,Wake,E00,LightGBM (ours),0.3462,0.2307,0.6932,4083,41841,0.176
bench,ST,N1,E00,LightGBM (ours),0.3766,0.557,0.2844,3594,41841,0.176
bench,ST,N2,E00,LightGBM (ours),0.7864,0.7101,0.881,19522,41841,0.176
bench,ST,N3,E00,LightGBM (ours),0.7141,0.8902,0.5962,6393,41841,0.176
bench,ST,REM,E00,LightGBM (ours),0.6777,0.6741,0.6813,8249,41841,0.176
valid,ALL,Wake,E00,LightGBM (ours),0.9211,0.8696,0.9791,289711,456997,0.999
valid,ALL,N1,E00,LightGBM (ours),0.3456,0.5593,0.2501,25116,456997,0.999
valid,ALL,N2,E00,LightGBM (ours),0.7706,0.7085,0.8445,88654,456997,0.999
valid,ALL,N3,E00,LightGBM (ours),0.7199,0.8731,0.6124,19432,456997,0.999
valid,ALL,REM,E00,LightGBM (ours),0.606,0.6715,0.5522,34084,456997,0.999
valid,SC,Wake,E00,LightGBM (ours),0.927,0.879,0.9806,285433,414961,0.907
valid,SC,N1,E00,LightGBM (ours),0.3412,0.5597,0.2454,21522,414961,0.907
valid,SC,N2,E00,LightGBM (ours),0.7662,0.7081,0.8347,69132,414961,0.907
valid,SC,N3,E00,LightGBM (ours),0.7232,0.8648,0.6214,13039,414961,0.907
valid,SC,REM,E00,LightGBM (ours),0.5864,0.6706,0.521,25835,414961,0.907
valid,ST,Wake,E00,LightGBM (ours),0.3607,0.2415,0.7124,4278,42036,0.092
valid,ST,N1,E00,LightGBM (ours),0.3746,0.557,0.2822,3594,42036,0.092
valid,ST,N2,E00,LightGBM (ours),0.7864,0.7101,0.8809,19522,42036,0.092
valid,ST,N3,E00,LightGBM (ours),0.7134,0.8902,0.5952,6393,42036,0.092
valid,ST,REM,E00,LightGBM (ours),0.6765,0.6741,0.6788,8249,42036,0.092
bench,ALL,Wake,E02c,YASA crop,0.6837,0.9934,0.5212,70140,237936,1.0
bench,ALL,N1,E02c,YASA crop,0.0686,0.0365,0.5719,25175,237936,1.0
bench,ALL,N2,E02c,YASA crop,0.75,0.6851,0.8284,88983,237936,1.0
bench,ALL,N3,E02c,YASA crop,0.5799,0.44,0.8501,19454,237936,1.0
bench,ALL,REM,E02c,YASA crop,0.6494,0.505,0.9097,34184,237936,1.0
bench,SC,Wake,E02c,YASA crop,0.7056,0.9937,0.547,65941,195469,0.822
bench,SC,N1,E02c,YASA crop,0.05,0.0263,0.534,21522,195469,0.822
bench,SC,N2,E02c,YASA crop,0.739,0.6637,0.8336,69132,195469,0.822
bench,SC,N3,E02c,YASA crop,0.5552,0.4157,0.8355,13039,195469,0.822
bench,SC,REM,E02c,YASA crop,0.6065,0.4568,0.902,25835,195469,0.822
bench,ST,Wake,E02c,YASA crop,0.4585,0.9881,0.2985,4199,42467,0.178
bench,ST,N1,E02c,YASA crop,0.1685,0.0969,0.6448,3653,42467,0.178
bench,ST,N2,E02c,YASA crop,0.7855,0.7596,0.8132,19851,42467,0.178
bench,ST,N3,E02c,YASA crop,0.6282,0.4895,0.8766,6415,42467,0.178
bench,ST,REM,E02c,YASA crop,0.7669,0.6541,0.9268,8349,42467,0.178
valid,ALL,Wake,E02c,YASA crop,0.6837,0.9934,0.5212,70140,237936,0.52
valid,ALL,N1,E02c,YASA crop,0.0686,0.0365,0.5719,25175,237936,0.52
valid,ALL,N2,E02c,YASA crop,0.75,0.6851,0.8284,88983,237936,0.52
valid,ALL,N3,E02c,YASA crop,0.5799,0.44,0.8501,19454,237936,0.52
valid,ALL,REM,E02c,YASA crop,0.6494,0.505,0.9097,34184,237936,0.52
valid,SC,Wake,E02c,YASA crop,0.7056,0.9937,0.547,65941,195469,0.427
