window,subset,class,run,model,f1,recall,precision,support,n,coverage
bench,ST,N2,E02,YASA Fpz+EOG,0.7911,0.774,0.809,19851,42467,0.178
bench,ST,N3,E02,YASA Fpz+EOG,0.6182,0.4701,0.9025,6415,42467,0.178
bench,ST,REM,E02,YASA Fpz+EOG,0.7315,0.6017,0.9326,8349,42467,0.178
valid,ALL,Wake,E02,YASA Fpz+EOG,0.9023,0.9905,0.8285,289856,457652,1.0
valid,ALL,N1,E02,YASA Fpz+EOG,0.1218,0.0686,0.541,25175,457652,1.0
valid,ALL,N2,E02,YASA Fpz+EOG,0.7419,0.7089,0.7782,88983,457652,1.0
valid,ALL,N3,E02,YASA Fpz+EOG,0.3637,0.2284,0.892,19454,457652,1.0
valid,ALL,REM,E02,YASA Fpz+EOG,0.6613,0.5426,0.8465,34184,457652,1.0
valid,SC,Wake,E02,YASA Fpz+EOG,0.9158,0.9905,0.8515,285433,414961,0.907
valid,SC,N1,E02,YASA Fpz+EOG,0.1174,0.0661,0.5222,21522,414961,0.907
valid,SC,N2,E02,YASA Fpz+EOG,0.7273,0.6901,0.7688,69132,414961,0.907
valid,SC,N3,E02,YASA Fpz+EOG,0.1944,0.1094,0.8707,13039,414961,0.907
valid,SC,REM,E02,YASA Fpz+EOG,0.6385,0.5235,0.8184,25835,414961,0.907
valid,ST,Wake,E02,YASA Fpz+EOG,0.463,0.9905,0.3021,4423,42691,0.093
valid,ST,N1,E02,YASA Fpz+EOG,0.148,0.0835,0.6503,3653,42691,0.093
valid,ST,N2,E02,YASA Fpz+EOG,0.7911,0.774,0.809,19851,42691,0.093
valid,ST,N3,E02,YASA Fpz+EOG,0.6182,0.4701,0.9025,6415,42691,0.093
valid,ST,REM,E02,YASA Fpz+EOG,0.7315,0.6017,0.9326,8349,42691,0.093
bench,ALL,Wake,E03,YASA Pz+EOG,0.6087,0.9716,0.4431,70140,237936,1.0
bench,ALL,N1,E03,YASA Pz+EOG,0.0704,0.0375,0.569,25175,237936,1.0
bench,ALL,N2,E03,YASA Pz+EOG,0.6352,0.541,0.769,88983,237936,1.0
bench,ALL,N3,E03,YASA Pz+EOG,0.2624,0.1545,0.8695,19454,237936,1.0
bench,ALL,REM,E03,YASA Pz+EOG,0.5596,0.4142,0.8621,34184,237936,1.0
bench,SC,Wake,E03,YASA Pz+EOG,0.6303,0.9702,0.4668,65941,195469,0.822
bench,SC,N1,E03,YASA Pz+EOG,0.0562,0.0297,0.5212,21522,195469,0.822
bench,SC,N2,E03,YASA Pz+EOG,0.5897,0.4839,0.7547,69132,195469,0.822
bench,SC,N3,E03,YASA Pz+EOG,0.101,0.0543,0.7254,13039,195469,0.822
bench,SC,REM,E03,YASA Pz+EOG,0.526,0.3839,0.8347,25835,195469,0.822
bench,ST,Wake,E03,YASA Pz+EOG,0.3984,0.9931,0.2492,4199,42467,0.178
bench,ST,N1,E03,YASA Pz+EOG,0.1493,0.0835,0.7044,3653,42467,0.178
bench,ST,N2,E03,YASA Pz+EOG,0.7705,0.74,0.8036,19851,42467,0.178
bench,ST,N3,E03,YASA Pz+EOG,0.5166,0.3582,0.9262,6415,42467,0.178
bench,ST,REM,E03,YASA Pz+EOG,0.6579,0.5078,0.9339,8349,42467,0.178
valid,ALL,Wake,E03,YASA Pz+EOG,0.8641,0.9854,0.7693,289856,457652,1.0
valid,ALL,N1,E03,YASA Pz+EOG,0.0703,0.0375,0.5653,25175,457652,1.0
valid,ALL,N2,E03,YASA Pz+EOG,0.6325,0.541,0.7612,88983,457652,1.0
valid,ALL,N3,E03,YASA Pz+EOG,0.2623,0.1545,0.8668,19454,457652,1.0
valid,ALL,REM,E03,YASA Pz+EOG,0.5428,0.4142,0.7871,34184,457652,1.0
valid,SC,Wake,E03,YASA Pz+EOG,0.8792,0.9853,0.7938,285433,414961,0.907
valid,SC,N1,E03,YASA Pz+EOG,0.0562,0.0297,0.5166,21522,414961,0.907
valid,SC,N2,E03,YASA Pz+EOG,0.5864,0.4839,0.744,69132,414961,0.907
valid,SC,N3,E03,YASA Pz+EOG,0.101,0.0543,0.7173,13039,414961,0.907
valid,SC,REM,E03,YASA Pz+EOG,0.505,0.3839,0.7376,25835,414961,0.907
valid,ST,Wake,E03,YASA Pz+EOG,0.411,0.9934,0.2591,4423,42691,0.093
valid,ST,N1,E03,YASA Pz+EOG,0.1493,0.0835,0.7044,3653,42691,0.093
valid,ST,N2,E03,YASA Pz+EOG,0.7705,0.74,0.8036,19851,42691,0.093
valid,ST,N3,E03,YASA Pz+EOG,0.5166,0.3582,0.9262,6415,42691,0.093
valid,ST,REM,E03,YASA Pz+EOG,0.6579,0.5078,0.9339,8349,42691,0.093
bench,ALL,Wake,E16,Ens 0.7ANY+0.3RSN+bias,0.9414,0.9283,0.9549,70140,237936,1.0
bench,ALL,N1,E16,Ens 0.7ANY+0.3RSN+bias,0.6244,0.6812,0.5764,25175,237936,1.0
bench,ALL,N2,E16,Ens 0.7ANY+0.3RSN+bias,0.8762,0.8721,0.8802,88983,237936,1.0
bench,ALL,N3,E16,Ens 0.7ANY+0.3RSN+bias,0.7999,0.7607,0.8434,19454,237936,1.0
bench,ALL,REM,E16,Ens 0.7ANY+0.3RSN+bias,0.9035,0.9049,0.9021,34184,237936,1.0
bench,SC,Wake,E16,Ens 0.7ANY+0.3RSN+bias,0.9434,0.9308,0.9563,65941,195469,0.822
bench,SC,N1,E16,Ens 0.7ANY+0.3RSN+bias,0.606,0.6709,0.5526,21522,195469,0.822
bench,SC,N2,E16,Ens 0.7ANY+0.3RSN+bias,0.8638,0.8592,0.8684,69132,195469,0.822
bench,SC,N3,E16,Ens 0.7ANY+0.3RSN+bias,0.7621,0.6988,0.8379,13039,195469,0.822
bench,SC,REM,E16,Ens 0.7ANY+0.3RSN+bias,0.8891,0.8898,0.8884,25835,195469,0.822
bench,ST,Wake,E16,Ens 0.7ANY+0.3RSN+bias,0.9096,0.8883,0.932,4199,42467,0.178
bench,ST,N1,E16,Ens 0.7ANY+0.3RSN+bias,0.7448,0.7416,0.7481,3653,42467,0.178
bench,ST,N2,E16,Ens 0.7ANY+0.3RSN+bias,0.9191,0.917,0.9213,19851,42467,0.178
bench,ST,N3,E16,Ens 0.7ANY+0.3RSN+bias,0.8691,0.8864,0.8525,6415,42467,0.178
bench,ST,REM,E16,Ens 0.7ANY+0.3RSN+bias,0.9479,0.9517,0.9442,8349,42467,0.178
valid,ALL,Wake,E16,Ens 0.7ANY+0.3RSN+bias,0.9852,0.9812,0.9893,289856,457652,1.0
valid,ALL,N1,E16,Ens 0.7ANY+0.3RSN+bias,0.6213,0.6812,0.5711,25175,457652,1.0
valid,ALL,N2,E16,Ens 0.7ANY+0.3RSN+bias,0.8756,0.8721,0.8791,88983,457652,1.0
valid,ALL,N3,E16,Ens 0.7ANY+0.3RSN+bias,0.7996,0.7607,0.8428,19454,457652,1.0
valid,ALL,REM,E16,Ens 0.7ANY+0.3RSN+bias,0.9034,0.9049,0.9019,34184,457652,1.0
valid,SC,Wake,E16,Ens 0.7ANY+0.3RSN+bias,0.9863,0.9826,0.9901,285433,414961,0.907
valid,SC,N1,E16,Ens 0.7ANY+0.3RSN+bias,0.6026,0.6709,0.5469,21522,414961,0.907
valid,SC,N2,E16,Ens 0.7ANY+0.3RSN+bias,0.863,0.8592,0.8669,69132,414961,0.907
valid,SC,N3,E16,Ens 0.7ANY+0.3RSN+bias,0.7616,0.6988,0.8368,13039,414961,0.907
valid,SC,REM,E16,Ens 0.7ANY+0.3RSN+bias,0.889,0.8898,0.8882,25835,414961,0.907
valid,ST,Wake,E16,Ens 0.7ANY+0.3RSN+bias,0.9142,0.8937,0.9356,4423,42691,0.093
valid,ST,N1,E16,Ens 0.7ANY+0.3RSN+bias,0.7447,0.7416,0.7479,3653,42691,0.093
valid,ST,N2,E16,Ens 0.7ANY+0.3RSN+bias,0.9191,0.917,0.9213,19851,42691,0.093
valid,ST,N3,E16,Ens 0.7ANY+0.3RSN+bias,0.8691,0.8864,0.8525,6415,42691,0.093
valid,ST,REM,E16,Ens 0.7ANY+0.3RSN+bias,0.9479,0.9517,0.9442,8349,42691,0.093
bench,ALL,Wake,E17,Ens ANYx3+LGBM,0.9384,0.9197,0.9578,70024,237310,0.997
bench,ALL,N1,E17,Ens ANYx3+LGBM,0.6097,0.6075,0.612,25116,237310,0.997
bench,ALL,N2,E17,Ens ANYx3+LGBM,0.8836,0.8981,0.8695,88654,237310,0.997
bench,ALL,N3,E17,Ens ANYx3+LGBM,0.8252,0.8193,0.8312,19432,237310,0.997
bench,ALL,REM,E17,Ens ANYx3+LGBM,0.9008,0.9053,0.8963,34084,237310,0.997
bench,SC,Wake,E17,Ens ANYx3+LGBM,0.9398,0.9205,0.9599,65941,195469,0.822
bench,SC,N1,E17,Ens ANYx3+LGBM,0.5911,0.5957,0.5865,21522,195469,0.822
bench,SC,N2,E17,Ens ANYx3+LGBM,0.8759,0.8937,0.8588,69132,195469,0.822
bench,SC,N3,E17,Ens ANYx3+LGBM,0.8066,0.7803,0.8348,13039,195469,0.822
bench,SC,REM,E17,Ens ANYx3+LGBM,0.8878,0.8949,0.8808,25835,195469,0.822
bench,ST,Wake,E17,Ens ANYx3+LGBM,0.9162,0.9074,0.9251,4083,41841,0.176
bench,ST,N1,E17,Ens ANYx3+LGBM,0.7313,0.6781,0.7936,3594,41841,0.176
bench,ST,N2,E17,Ens ANYx3+LGBM,0.9111,0.9135,0.9088,19522,41841,0.176
bench,ST,N3,E17,Ens ANYx3+LGBM,0.8603,0.899,0.8249,6393,41841,0.176
bench,ST,REM,E17,Ens ANYx3+LGBM,0.9419,0.9377,0.9462,8249,41841,0.176
valid,ALL,Wake,E17,Ens ANYx3+LGBM,0.9845,0.979,0.9901,289711,456997,0.999
valid,ALL,N1,E17,Ens ANYx3+LGBM,0.6062,0.6075,0.605,25116,456997,0.999
valid,ALL,N2,E17,Ens ANYx3+LGBM,0.8829,0.8981,0.8682,88654,456997,0.999
valid,ALL,N3,E17,Ens ANYx3+LGBM,0.825,0.8193,0.8308,19432,456997,0.999
valid,ALL,REM,E17,Ens ANYx3+LGBM,0.9004,0.9053,0.8956,34084,456997,0.999
valid,SC,Wake,E17,Ens ANYx3+LGBM,0.9855,0.98,0.991,285433,414961,0.907
valid,SC,N1,E17,Ens ANYx3+LGBM,0.5872,0.5957,0.5789,21522,414961,0.907
valid,SC,N2,E17,Ens ANYx3+LGBM,0.875,0.8937,0.8571,69132,414961,0.907
valid,SC,N3,E17,Ens ANYx3+LGBM,0.8063,0.7803,0.8342,13039,414961,0.907
valid,SC,REM,E17,Ens ANYx3+LGBM,0.8874,0.8949,0.8799,25835,414961,0.907
valid,ST,Wake,E17,Ens ANYx3+LGBM,0.92,0.9116,0.9286,4278,42036,0.092
valid,ST,N1,E17,Ens ANYx3+LGBM,0.7313,0.6781,0.7936,3594,42036,0.092
valid,ST,N2,E17,Ens ANYx3+LGBM,0.9111,0.9135,0.9088,19522,42036,0.092
valid,ST,N3,E17,Ens ANYx3+LGBM,0.8603,0.899,0.8249,6393,42036,0.092
valid,ST,REM,E17,Ens ANYx3+LGBM,0.9419,0.9377,0.9462,8249,42036,0.092
bench,ALL,Wake,E18,Ens ANYx3+LGBM+bias,0.9332,0.9036,0.9648,70024,237310,0.997
bench,ALL,N1,E18,Ens ANYx3+LGBM+bias,0.6169,0.6619,0.5777,25116,237310,0.997
bench,ALL,N2,E18,Ens ANYx3+LGBM+bias,0.8822,0.8849,0.8794,88654,237310,0.997
bench,ALL,N3,E18,Ens ANYx3+LGBM+bias,0.8253,0.8193,0.8313,19432,237310,0.997
bench,ALL,REM,E18,Ens ANYx3+LGBM+bias,0.9004,0.9071,0.8939,34084,237310,0.997
bench,SC,Wake,E18,Ens ANYx3+LGBM+bias,0.9346,0.9044,0.9668,65941,195469,0.822
bench,SC,N1,E18,Ens ANYx3+LGBM+bias,0.5987,0.6528,0.553,21522,195469,0.822
bench,SC,N2,E18,Ens ANYx3+LGBM+bias,0.8739,0.8784,0.8695,69132,195469,0.822
bench,SC,N3,E18,Ens ANYx3+LGBM+bias,0.8067,0.7803,0.835,13039,195469,0.822
bench,SC,REM,E18,Ens ANYx3+LGBM+bias,0.8871,0.8959,0.8784,25835,195469,0.822
bench,ST,Wake,E18,Ens ANYx3+LGBM+bias,0.9114,0.8905,0.9333,4083,41841,0.176
bench,ST,N1,E18,Ens ANYx3+LGBM+bias,0.7394,0.7168,0.7635,3594,41841,0.176
bench,ST,N2,E18,Ens ANYx3+LGBM+bias,0.9116,0.9081,0.9152,19522,41841,0.176
bench,ST,N3,E18,Ens ANYx3+LGBM+bias,0.8604,0.899,0.825,6393,41841,0.176
bench,ST,REM,E18,Ens ANYx3+LGBM+bias,0.9428,0.9419,0.9436,8249,41841,0.176
valid,ALL,Wake,E18,Ens ANYx3+LGBM+bias,0.9832,0.9747,0.9919,289711,456997,0.999
valid,ALL,N1,E18,Ens ANYx3+LGBM+bias,0.6123,0.6619,0.5697,25116,456997,0.999
valid,ALL,N2,E18,Ens ANYx3+LGBM+bias,0.8815,0.8849,0.8781,88654,456997,0.999
valid,ALL,N3,E18,Ens ANYx3+LGBM+bias,0.8251,0.8193,0.831,19432,456997,0.999
valid,ALL,REM,E18,Ens ANYx3+LGBM+bias,0.8999,0.9071,0.8929,34084,456997,0.999
valid,SC,Wake,E18,Ens ANYx3+LGBM+bias,0.9842,0.9759,0.9927,285433,414961,0.907
valid,SC,N1,E18,Ens ANYx3+LGBM+bias,0.5936,0.6528,0.5443,21522,414961,0.907
valid,SC,N2,E18,Ens ANYx3+LGBM+bias,0.8731,0.8784,0.8678,69132,414961,0.907
valid,SC,N3,E18,Ens ANYx3+LGBM+bias,0.8064,0.7803,0.8344,13039,414961,0.907
valid,SC,REM,E18,Ens ANYx3+LGBM+bias,0.8864,0.8959,0.877,25835,414961,0.907
valid,ST,Wake,E18,Ens ANYx3+LGBM+bias,0.9155,0.8955,0.9364,4278,42036,0.092
valid,ST,N1,E18,Ens ANYx3+LGBM+bias,0.7394,0.7168,0.7635,3594,42036,0.092
valid,ST,N2,E18,Ens ANYx3+LGBM+bias,0.9116,0.9081,0.9152,19522,42036,0.092
valid,ST,N3,E18,Ens ANYx3+LGBM+bias,0.8604,0.899,0.825,6393,42036,0.092
valid,ST,REM,E18,Ens ANYx3+LGBM+bias,0.9428,0.9419,0.9436,8249,42036,0.092
bench,ALL,Wake,E21,U-Sleep CSDP (open),0.9334,0.9299,0.9369,70140,237936,1.0
bench,ALL,N1,E21,U-Sleep CSDP (open),0.6048,0.5714,0.6423,25175,237936,1.0
bench,ALL,N2,E21,U-Sleep CSDP (open),0.8837,0.9031,0.8652,88983,237936,1.0
bench,ALL,N3,E21,U-Sleep CSDP (open),0.8014,0.8031,0.7997,19454,237936,1.0
bench,ALL,REM,E21,U-Sleep CSDP (open),0.914,0.905,0.9233,34184,237936,1.0
bench,SC,Wake,E21,U-Sleep CSDP (open),0.942,0.9267,0.9577,65941,195469,0.822
bench,SC,N1,E21,U-Sleep CSDP (open),0.6212,0.6119,0.6308,21522,195469,0.822
bench,SC,N2,E21,U-Sleep CSDP (open),0.8872,0.912,0.8638,69132,195469,0.822
bench,SC,N3,E21,U-Sleep CSDP (open),0.7942,0.7622,0.8291,13039,195469,0.822
bench,SC,REM,E21,U-Sleep CSDP (open),0.9189,0.9185,0.9193,25835,195469,0.822
bench,ST,Wake,E21,U-Sleep CSDP (open),0.8227,0.9807,0.7085,4199,42467,0.178
bench,ST,N1,E21,U-Sleep CSDP (open),0.4706,0.3332,0.8012,3653,42467,0.178
bench,ST,N2,E21,U-Sleep CSDP (open),0.8711,0.872,0.8701,19851,42467,0.178
bench,ST,N3,E21,U-Sleep CSDP (open),0.8142,0.8862,0.753,6415,42467,0.178
bench,ST,REM,E21,U-Sleep CSDP (open),0.8984,0.863,0.9368,8349,42467,0.178
valid,ALL,Wake,E21,U-Sleep CSDP (open),0.9831,0.9814,0.9848,289856,457652,1.0
valid,ALL,N1,E21,U-Sleep CSDP (open),0.6012,0.5714,0.6343,25175,457652,1.0
valid,ALL,N2,E21,U-Sleep CSDP (open),0.8829,0.9031,0.8637,88983,457652,1.0
valid,ALL,N3,E21,U-Sleep CSDP (open),0.801,0.8031,0.7989,19454,457652,1.0
valid,ALL,REM,E21,U-Sleep CSDP (open),0.9138,0.905,0.9228,34184,457652,1.0
valid,SC,Wake,E21,U-Sleep CSDP (open),0.9859,0.9814,0.9905,285433,414961,0.907
valid,SC,N1,E21,U-Sleep CSDP (open),0.617,0.6119,0.6223,21522,414961,0.907
valid,SC,N2,E21,U-Sleep CSDP (open),0.8862,0.912,0.8619,69132,414961,0.907
valid,SC,N3,E21,U-Sleep CSDP (open),0.7936,0.7622,0.8278,13039,414961,0.907
valid,SC,REM,E21,U-Sleep CSDP (open),0.9186,0.9185,0.9186,25835,414961,0.907
valid,ST,Wake,E21,U-Sleep CSDP (open),0.8303,0.9817,0.7194,4423,42691,0.093
valid,ST,N1,E21,U-Sleep CSDP (open),0.4706,0.3332,0.8012,3653,42691,0.093
valid,ST,N2,E21,U-Sleep CSDP (open),0.8711,0.872,0.8701,19851,42691,0.093
valid,ST,N3,E21,U-Sleep CSDP (open),0.8142,0.8862,0.753,6415,42691,0.093
valid,ST,REM,E21,U-Sleep CSDP (open),0.8984,0.863,0.9368,8349,42691,0.093
bench,ALL,Wake,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.9363,0.9145,0.9591,70024,237310,0.997
bench,ALL,N1,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.6354,0.6497,0.6218,25116,237310,0.997
bench,ALL,N2,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.8925,0.904,0.8812,88654,237310,0.997
bench,ALL,N3,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.8331,0.8297,0.8366,19432,237310,0.997
bench,ALL,REM,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.9154,0.9154,0.9155,34084,237310,0.997
bench,SC,Wake,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.9382,0.9148,0.9627,65941,195469,0.822
bench,SC,N1,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.6226,0.648,0.5991,21522,195469,0.822
bench,SC,N2,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.889,0.9033,0.8751,69132,195469,0.822
bench,SC,N3,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.8222,0.7932,0.8534,13039,195469,0.822
bench,SC,REM,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.909,0.9127,0.9052,25835,195469,0.822
bench,ST,Wake,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.9064,0.9096,0.9032,4083,41841,0.176
bench,ST,N1,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.7232,0.6597,0.8002,3594,41841,0.176
bench,ST,N2,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.9051,0.9065,0.9036,19522,41841,0.176
bench,ST,N3,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.8533,0.904,0.808,6393,41841,0.176
bench,ST,REM,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.9361,0.9236,0.9488,8249,41841,0.176
valid,ALL,Wake,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.9842,0.978,0.9904,289711,456997,0.999
valid,ALL,N1,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.632,0.6497,0.6153,25116,456997,0.999
valid,ALL,N2,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.892,0.904,0.8803,88654,456997,0.999
valid,ALL,N3,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.8329,0.8297,0.8361,19432,456997,0.999
valid,ALL,REM,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.9153,0.9154,0.9152,34084,456997,0.999
valid,SC,Wake,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.9853,0.979,0.9917,285433,414961,0.907
valid,SC,N1,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.6188,0.648,0.5921,21522,414961,0.907
valid,SC,N2,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.8884,0.9033,0.8739,69132,414961,0.907
valid,SC,N3,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.8219,0.7932,0.8526,13039,414961,0.907
valid,SC,REM,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.9088,0.9127,0.9049,25835,414961,0.907
valid,ST,Wake,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.9107,0.9137,0.9076,4278,42036,0.092
valid,ST,N1,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.7232,0.6597,0.8002,3594,42036,0.092
valid,ST,N2,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.9051,0.9065,0.9036,19522,42036,0.092
valid,ST,N3,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.8533,0.904,0.808,6393,42036,0.092
valid,ST,REM,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.9361,0.9236,0.9488,8249,42036,0.092
bench,ALL,Wake,E19b,Ens v2 +bias,0.932,0.9012,0.9649,70024,237310,0.997
bench,ALL,N1,E19b,Ens v2 +bias,0.6378,0.6912,0.5921,25116,237310,0.997
bench,ALL,N2,E19b,Ens v2 +bias,0.8907,0.8925,0.8889,88654,237310,0.997
bench,ALL,N3,E19b,Ens v2 +bias,0.8331,0.8296,0.8367,19432,237310,0.997
bench,ALL,REM,E19b,Ens v2 +bias,0.9149,0.9179,0.9119,34084,237310,0.997
bench,SC,Wake,E19b,Ens v2 +bias,0.9335,0.9014,0.968,65941,195469,0.822
bench,SC,N1,E19b,Ens v2 +bias,0.6241,0.6906,0.5693,21522,195469,0.822
bench,SC,N2,E19b,Ens v2 +bias,0.8866,0.8898,0.8834,69132,195469,0.822
bench,SC,N3,E19b,Ens v2 +bias,0.8223,0.7932,0.8536,13039,195469,0.822
bench,SC,REM,E19b,Ens v2 +bias,0.9078,0.9142,0.9016,25835,195469,0.822
bench,ST,Wake,E19b,Ens v2 +bias,0.9081,0.8979,0.9186,4083,41841,0.176
bench,ST,N1,E19b,Ens v2 +bias,0.7338,0.6945,0.7778,3594,41841,0.176
bench,ST,N2,E19b,Ens v2 +bias,0.9054,0.9021,0.9087,19522,41841,0.176
bench,ST,N3,E19b,Ens v2 +bias,0.8533,0.904,0.808,6393,41841,0.176
bench,ST,REM,E19b,Ens v2 +bias,0.9372,0.9293,0.9453,8249,41841,0.176
valid,ALL,Wake,E19b,Ens v2 +bias,0.9832,0.9745,0.9919,289711,456997,0.999
valid,ALL,N1,E19b,Ens v2 +bias,0.6337,0.6912,0.5851,25116,456997,0.999
valid,ALL,N2,E19b,Ens v2 +bias,0.8902,0.8925,0.888,88654,456997,0.999
valid,ALL,N3,E19b,Ens v2 +bias,0.8329,0.8296,0.8362,19432,456997,0.999
valid,ALL,REM,E19b,Ens v2 +bias,0.9147,0.9179,0.9116,34084,456997,0.999
valid,SC,Wake,E19b,Ens v2 +bias,0.9842,0.9756,0.993,285433,414961,0.907
valid,SC,N1,E19b,Ens v2 +bias,0.6195,0.6906,0.5617,21522,414961,0.907
valid,SC,N2,E19b,Ens v2 +bias,0.886,0.8898,0.8823,69132,414961,0.907
valid,SC,N3,E19b,Ens v2 +bias,0.8219,0.7932,0.8528,13039,414961,0.907
valid,SC,REM,E19b,Ens v2 +bias,0.9077,0.9142,0.9012,25835,414961,0.907
valid,ST,Wake,E19b,Ens v2 +bias,0.9123,0.9025,0.9224,4278,42036,0.092
valid,ST,N1,E19b,Ens v2 +bias,0.7338,0.6945,0.7778,3594,42036,0.092
valid,ST,N2,E19b,Ens v2 +bias,0.9054,0.9021,0.9087,19522,42036,0.092
valid,ST,N3,E19b,Ens v2 +bias,0.8533,0.904,0.808,6393,42036,0.092
valid,ST,REM,E19b,Ens v2 +bias,0.9372,0.9293,0.9453,8249,42036,0.092
