slice,n,macro_f1,micro_f1,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,kappa,ece,mean_conf
ALL,237936,0.4272341561418093,0.564861979692018,0.6086607035202808,0.07035850040992771,0.6351780142358614,0.26240670420322115,0.5595668583397554,0.37768126364111615,0.16716928332549075,0.7320312630175088
SC,195469,0.38064463045648156,0.5560932935657317,0.6303411856274446,0.05618076314401266,0.5897108206488687,0.10103460577952195,0.52595577708256,0.3415803307402508,0.1819607860851783,0.73805407965091
ST,42467,0.4985471493792236,0.6052228789412956,0.39841398748387713,0.14929025942241803,0.7704694466299502,0.516636690647482,0.6579253627123904,0.45855390697501336,0.09908629528928956,0.7043091742305851
