slice,n,macro_f1,micro_f1,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,kappa,ece,mean_conf
ALL,237310,0.8433055105236932,0.8768235641144495,0.9385335413416537,0.6383455102521801,0.8920904270164667,0.8321296368201704,0.9154284371879955,0.8323043481145402,0.1231764358855505,1.0
SC,195469,0.8368912207439203,0.8742102328246423,0.9406142396121242,0.6261398176291794,0.8882939610060469,0.8207171314741036,0.9086909539981476,0.8270506158262252,0.12578976717535773,1.0
ST,41841,0.864724905308367,0.8890322889032289,0.9060200265411992,0.721735117674204,0.9056990045295187,0.8532998300199541,0.936870547776959,0.8419793034412063,0.11096771109677106,1.0
