slice,n,macro_f1,micro_f1,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,kappa,ece,mean_conf
ALL,6311,0.5522173647612643,0.7909998415465062,0.8895108298856169,0.11358024691358025,0.7548361626529807,0.643609022556391,0.3595505617977528,0.6075143646890239,0.03136684109594611,0.7626272167069331
SC,5219,0.547155789015516,0.8340678290860318,0.9222148098732489,0.05166051660516605,0.8120678818353237,0.7078189300411523,0.24201680672268908,0.6371847038205127,0.05032779369536336,0.7853653176520268
ST,1092,0.5231534062193416,0.5851648351648352,0.5504840940525588,0.23880597014925373,0.6581740976645435,0.4692737430167598,0.6990291262135923,0.4171244353008548,0.0923163310627482,0.6539549192413253
