slice,n,macro_f1,micro_f1,f1_Wake,f1_N1,f1_N2,f1_N3,f1_REM,kappa,ece,mean_conf
ALL,237936,0.5225206139785235,0.6377933561966243,0.681605674673545,0.09976147046443104,0.7365613186148495,0.5375550455870496,0.5571195605527423,0.49454335100830527,0.03426763794717392,0.6719207502988221
SC,195469,0.4858014159789759,0.6209577989348695,0.6934778154116895,0.07568155209901321,0.7118695523652022,0.4502691317575474,0.4977090282614274,0.4603900891992115,0.044719928214560195,0.6655556486185141
ST,42467,0.6113055732631674,0.715284809381402,0.5405056944344961,0.22517421602787457,0.8135272437493775,0.7089421928131605,0.768378519290928,0.5953436338491093,0.020136034104896523,0.7012183239524377
